Abbreviation	Format	Prefered	Keyword	Type	Comment	Reference	Length	Rank_gross	Rank_detail	Region	Web link	Concatenated	Separable
RH	UPPER	0	Root of Hedge			Ordnance Survey (UK)	2	10	10	United Kingdom			
RH	UPPER	0	Roundhouse	Transport		USGS	2	1	2	United States of America			
Rte	MiXeD	0	Route	Transport		USGS	3	1	2	United States of America			
R	UPPER	-10	Row	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
Rw	MiXeD	0	Row	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
RAC	UPPER	0	Royal Automobile Club	Organization		Ordnance Survey (UK)	3	10	10	United Kingdom			
R	UPPER	-10	Ruin	Point of interest		UC Berkeley	1	1	3	United States of America			
Ruin	MiXeD	0	Ruins	Landcover		UC Berkeley	4	1	3	United States of America			
Rns	MiXeD	0	Ruins	Landcover		USGS	3	1	2	United States of America			
R	UPPER	-10	Run	Hydrology		USGS	1	1	2	United States of America			
RB	UPPER	0	Rural Borough	Administration		Ordnance Survey (UK)	2	10	10	United Kingdom			
RD	UPPER	0	Rural District	Administration		Ordnance Survey (UK)	2	10	10	United Kingdom			
Sad	MiXeD	0	Saddle	Landform		USGS	3	1	2	United States of America			
St	MiXeD	0	Saint	Title		UC Berkeley	2	1	3	United States of America			
Ste	MiXeD	0	Sainte	Title		USGS	3	1	2	United States of America			
SS	UPPER	0	Saints	Title		USGS	2	1	2	United States of America			
SALT	UPPER	0	Salina	Hydrology		UC Berkeley	4	1	3	United States of America			
SA	UPPER	0	Salvation Army	Organization		Ordnance Survey (UK)	2	10	10	United Kingdom			
S.F.	Exact	0	San Francisco	City		UC Berkeley	4	1	3	United States of America			
Sanatm	MiXeD	0	Sanatorium			Ordnance Survey (UK)	6	10	10	United Kingdom			
San	MiXeD	0	Sanatorium			USGS	3	1	2	United States of America			
Sand	MiXeD	0	Sand	Landform		USGS	4	1	2	United States of America			
San	MiXeD	0	Sanitarium			USGS	3	1	2	United States of America			
Sask	MiXeD	0	Saskatchewan	Admin-1		Nat'l Geo. N. Amer. Atlas	4	1	1				
S.M.	Exact	0	Saw mill			UC Berkeley	4	1	3	United States of America			
S	UPPER	-10	Scar			Ordnance Survey (UK)	1	10	10	United Kingdom			
Scat	MiXeD	0	Scattered (density)			Ordnance Survey (UK)	4	10	10	United Kingdom			
Scheit-elst	MiXeD	0	Scheitelstarke			UC Berkeley	11	1	3	United States of America			
Schl	MiXeD	0	Schloss	Point of interest	castle	UC Berkeley	4	1	3	German			
Sch	MiXeD	0	School	Landcover		UC Berkeley	3	1	3	United States of America			
S.H.	Exact	0	School house	Point of interest		UC Berkeley	4	1	3	United States of America			
LFI	UPPER	0	Schweizerisches Landesforstinventar	German		UC Berkeley	3	1	3	German			
Sci	MiXeD	0	Science			USGS	3	1	2	United States of America			
SN	UPPER	0	Scientific Network			Ordnance Survey (UK)	2	10	10	United Kingdom			
Sc	MiXeD	0	Scrub	Landcover		Ordnance Survey (UK)	2	10	10	United Kingdom			
SW	UPPER	0	Seawall			USGS	2	1	2	United States of America			
Sec	MiXeD	0	Second	Ordinal numbers		USGS	3	1	2	United States of America			
2D	UPPER	0	Second	Ordinal numbers		USGS	2	1	2	United States of America			
2nd	lower	200	Second	Ordinal numbers		NVK	3	1	5	United States of America			
Sec	MiXeD	0	Secondary	Ordinal numbers		Ordnance Survey (UK)	3	10	10	United Kingdom			
Sec	MiXeD	0	Seconds	Time		USGS	3	1	2	United States of America			
Sec	MiXeD	0	Section			USGS	3	1	2	United States of America			
Secs	MiXeD	0	Sections			USGS	4	1	2	United States of America			
m	lower	-10	Seemeile			UC Berkeley	1	1	3	United States of America			
Sem	MiXeD	0	Seminary	Point of interest		USGS	3	1	2	United States of America			
Sept	MiXeD	0	September	Dates		USGS	4	1	2	United States of America			
Sa	MiXeD	0	Serra	Title		Nat'l Geo. N. Amer. Atlas	2	1	1				
S	UPPER	-10	Service Area on Motorways	Point of interest		Ordnance Survey (UK)	1	10	10	United Kingdom			
Sew	MiXeD	0	Sewage	Landcover		USGS	3	1	2	United States of America			
Sew Disp	MiXeD	50	Sewage Disposal	Point of interest		DeLorme	8	1	5	United States of America			
S	UPPER	-10	Sewer			Ordnance Survey (UK)	1	10	10	United Kingdom			
SG	UPPER	0	Sewer Grate			Ordnance Survey (UK)	2	10	10	United Kingdom			
SP	UPPER	0	Sewer Pipe			Ordnance Survey (UK)	2	10	10	United Kingdom			
SV	UPPER	0	Sewer Vent			Ordnance Survey (UK)	2	10	10	United Kingdom			
Sh Fd	MiXeD	0	Sheep Fold			Ordnance Survey (UK)	5	10	10	United Kingdom			
SHOL	UPPER	0	Shoal	Hydrology		UC Berkeley	4	1	3	United States of America			
Shl	MiXeD	0	Shoal	Hydrology		USGS	3	1	2	United States of America			
S	UPPER	-10	Side			Ordnance Survey (UK)	1	10	10	United Kingdom			
SD	UPPER	0	Side			Ordnance Survey (UK)	2	10	10	United Kingdom			
S	UPPER	-10	Side of			Ordnance Survey (UK)	1	10	10	United Kingdom			
SF	UPPER	0	Side of Fence			Ordnance Survey (UK)	2	10	10	United Kingdom			
SF	UPPER	0	Side of Furrow			Ordnance Survey (UK)	2	10	10	United Kingdom			
SR	UPPER	0	Side of River			Ordnance Survey (UK)	2	10	10	United Kingdom			
Sdg	MiXeD	0	Siding	Transport		USGS	3	1	2	United States of America			
Sa	MiXeD	0	Sierra	Landform		Nat'l Geo. N. Amer. Atlas	2	1	1				
Sas	MiXeD	0	Sierras	Landform		Nat'l Geo. N. Amer. Atlas	3	1	1				
SB	UPPER	0	Signal Box			Ordnance Survey (UK)	2	10	10	United Kingdom			
S Br	MiXeD	0	Signal Bridge			Ordnance Survey (UK)	4	10	10	United Kingdom			
S Gantry	MiXeD	0	Signal Gantry			Ordnance Survey (UK)	8	10	10	United Kingdom			
SL	UPPER	0	Signal Lamp			Ordnance Survey (UK)	2	10	10	United Kingdom			
SL	UPPER	0	Signal Light			Ordnance Survey (UK)	2	10	10	United Kingdom			
SP	UPPER	0	Signal Post			Ordnance Survey (UK)	2	10	10	United Kingdom			
Sig Sta	MiXeD	0	Signal Station			USGS	7	1	2	United States of America			
S Sta	MiXeD	0	Signal Station			Ordnance Survey (UK)	5	10	10	United Kingdom			
SD	UPPER	0	Single Drain or Ditch			Ordnance Survey (UK)	2	10	10	United Kingdom			
SSlip	MiXeD	0	Single Slip			Ordnance Survey (UK)	5	10	10	United Kingdom			
SS	UPPER	0	Single Stream			Ordnance Survey (UK)	2	10	10	United Kingdom			
S	UPPER	-10	Sink	Landform		Ordnance Survey (UK)	1	10	10	United Kingdom			
S	UPPER	-10	Sink Stones	Landform		Ordnance Survey (UK)	1	10	10	United Kingdom			
Sks	MiXeD	0	Sinks			Ordnance Survey (UK)	3	10	10	United Kingdom			
Sk	MiXeD	0	Sketched			Ordnance Survey (UK)	2	10	10	United Kingdom			
Slp	MiXeD	0	Slip			USGS	3	1	2	United States of America			
S	UPPER	-10	Slope	Landform		Ordnance Survey (UK)	1	10	10	United Kingdom			
SM	UPPER	0	Sloping Masonry			Ordnance Survey (UK)	2	10	10	United Kingdom			
SW	UPPER	0	Sloping Wall			Ordnance Survey (UK)	2	10	10	United Kingdom			
Slu	MiXeD	0	Slough	Hydrology		USGS	3	1	2	United States of America			
Sl	UPPER	50	Slough	Hydrology		DeLorme	2	1	5	United States of America			
S	UPPER	-10	Sluice	Hydrology		Ordnance Survey (UK)	1	10	10	United Kingdom			
Sl	MiXeD	0	Sluice	Hydrology		Ordnance Survey (UK)	2	10	10	United Kingdom			
Sml	MiXeD	0	Small	Measurement		USGS	3	1	2	United States of America			
Smy	MiXeD	0	Smithy	Point of interest		Ordnance Survey (UK)	3	10	10	United Kingdom			
Soc	MiXeD	0	Society			USGS	3	1	2	United States of America			
Sd	MiXeD	0	Sound	Hydrology		USGS	2	1	2	United States of America			
Sdg	MiXeD	0	Sounding	Hydrology		USGS	3	1	2	United States of America			
S	UPPER	100	South	Direction		USGS	1	1	2	United States of America			
S.C.	Exact	0	South Carolina	Admin-1		UC Berkeley	4	1	3	United States of America			
SC	UPPER	0	South Carolina	Admin-1		UC Berkeley	2	1	3	United States of America			
S.D.	Exact	0	South Dakota	Admin-1		UC Berkeley	4	1	3	United States of America			
SD	UPPER	0	South Dakota	Admin-1		UC Berkeley	2	1	3	United States of America			
S. Dak.	Exact	50	South Dakota	Admin-1		Nat'l Geo. N. Amer. Atlas	7	1	1				
SSE	UPPER	0	South Southeast	Direction		UC Berkeley	3	1	3	United States of America			
SSW	UPPER	0	South Southwest	Direction		UC Berkeley	3	1	3	United States of America			
SE	UPPER	0	Southeast	Direction		UC Berkeley	2	1	3	United States of America			
s	lower	-10	southerly	Direction	southern	UC Berkeley	1	1	3	United States of America			
S	UPPER	0	Southern	Direction		Nat'l Geo. N. Amer. Atlas	1	1	1				
SW	UPPER	0	Southwest	Direction		USGS	2	1	2	United States of America			
Sp	MiXeD	0	Spire	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
SV	UPPER	0	Spirit Vaults			Ordnance Survey (UK)	2	10	10	United Kingdom			
Sp	MiXeD	0	Spreads			Ordnance Survey (UK)	2	10	10	United Kingdom			
Spr	MiXeD	50	Spring	Hydrology		USGS	3	1	2	United States of America			
ST	UPPER	0	Spring Tides	Hydrology		Ordnance Survey (UK)	2	10	10	United Kingdom			
HP to which OSTs flow}	MiXeD	0	Spring Tides flow	Hydrology		Ordnance Survey (UK)	22	10	10	United Kingdom			
Sprs	MiXeD	0	Springs	Hydrology		UGSS	4	UGSS	UGSS	UGSS			
S	UPPER	-10	Spur			Ordnance Survey (UK)	1	10	10	United Kingdom			
Sp	MiXeD	0	Spur			USGS	2	1	2	United States of America			
S	UPPER	-10	Square			Ordnance Survey (UK)	1	10	10	United Kingdom			
Sq	MiXeD	0	Square			USGS	2	1	2	United States of America			
ST	UPPER	0	Stable	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
Staffs	MiXeD	0	Staffordshire	Place		Ordnance Survey (UK)	6	10	10	United Kingdom			
S	UPPER	-10	Stairs	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
Strs	MiXeD	0	Stairs	Transport		Ordnance Survey (UK)	4	10	10	United Kingdom			
Std	MiXeD	0	Standard			USGS	3	1	2	United States of America			
Std Par	MiXeD	0	Standard Parallel			USGS	7	1	2	United States of America			
St	MiXeD	100	State			Benchmark	2	1	1	United States of America			
SF	UPPER	50	State Forest			DeLorme	2	1	5	United States of America			
SHS	UPPER	100	State Heritage Site			Benchmark	3	1	1	United States of America			
SHP	UPPER	100	State Historic Park			Benchmark	3	1	1	United States of America			
SP	UPPER	100	State Park			Benchmark	2	1	1	United States of America			
SRA	UPPER	100	State Recreation Area			Benchmark	3	1	1	United States of America			
SR	UPPER	100	State Route			Benchmark	2	1	1	United States of America			
Stn	MiXeD	0	Station			Ordnance Survey (UK)	3	10	10	United Kingdom			
Sta	MiXeD	0	Station			USGS	3	1	2	United States of America			
Stb	MiXeD	0	Steinbruch	Point of interest	stone quarry	UC Berkeley	3	1	3	German			
S	UPPER	-10	Steps	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
Stps	MiXeD	0	Steps	Transport		Ordnance Survey (UK)	4	10	10	United Kingdom			
Sts	MiXeD	0	Steps	Transport		Ordnance Survey (UK)	3	10	10	United Kingdom			
S	UPPER	-10	Stile			Ordnance Survey (UK)	1	10	10	United Kingdom			
S	UPPER	-10	Stone			Ordnance Survey (UK)	1	10	10	United Kingdom			
St	MiXeD	0	Stone			Ordnance Survey (UK)	2	10	10	United Kingdom			
SC	UPPER	0	Stop Cock			Ordnance Survey (UK)	2	10	10	United Kingdom			
Strt	MiXeD	0	Strait	Hydrology		UC Berkeley	4	1	3	United States of America			
Str	MiXeD	0	Strait	Hydrology		USGS	3	1	2	United States of America			
S	UPPER	-10	Strand			Ordnance Survey (UK)	1	10	10	United Kingdom			
Sd	MiXeD	0	Strand			Ordnance Survey (UK)	2	10	10	United Kingdom			
Str	MiXeD	0	Strasse	Transport	street	UC Berkeley	3	1	3	German			
S	UPPER	-10	Stream	Hydrology		Ordnance Survey (UK)	1	10	10	United Kingdom			
Stm	MiXeD	0	Stream	Hydrology		UC Berkeley	3	1	3	United States of America			
Str	MiXeD	0	Stream	Hydrology		USGS	3	1	2	United States of America			
Stmm	MiXeD	0	Stream mouth	Hydrology		UC Berkeley	4	1	3	United States of America			
S	UPPER	-10	Street	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
St	MiXeD	0	Street	Transport		UC Berkeley	2	1	3	United States of America			
S	UPPER	-10	Street (mereing)	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
SM	UPPER	0	Strip Mine	Landcover		USGS	2	1	2	United States of America			
Stde	MiXeD	0	Stunde	Time	hour	UC Berkeley	4	1	3	German			
Sub	MiXeD	0	Subdivision			USGS	3	1	2	United States of America			
Subm	MiXeD	0	Submerged	Hydrology		USGS	4	1	2	United States of America			
Substa	MiXeD	0	Substation	Point of interest		USGS	6	1	2	United States of America			
Suff	MiXeD	0	Suffolk	City		Ordnance Survey (UK)	4	10	10	United Kingdom			
SH	UPPER	0	Summer House	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
Dial	MiXeD	0	Sun Dial	Time		Ordnance Survey (UK)	4	10	10	United Kingdom			
SD	UPPER	0	Sun Dial	Time		Ordnance Survey (UK)	2	10	10	United Kingdom			
Sun Sch	MiXeD	0	Sunday School			Ordnance Survey (UK)	7	10	10	United Kingdom			
Supp	MiXeD	0	Supplement			USGS	4	1	2	United States of America			
Surf	MiXeD	0	Surface			USGS	4	1	2	United States of America			
Sur	MiXeD	0	Surface			Ordnance Survey (UK)	3	10	10	United Kingdom			
Sur B	MiXeD	0	Surface Block			Ordnance Survey (UK)	5	10	10	United Kingdom			
Surv	MiXeD	0	Survey			USGS	4	1	2	United States of America			
Sw	MiXeD	0	Switch			Ordnance Survey (UK)	2	10	10	United Kingdom			
Syph	MiXeD	0	Syphon			USGS	4	1	2	United States of America			
Tachy	MiXeD	0	Tacheometer			Ordnance Survey (UK)	5	10	10	United Kingdom			
Tachy	MiXeD	0	Tacheometry			Ordnance Survey (UK)	5	10	10	United Kingdom			
Tail	MiXeD	0	Tailings			USGS	4	1	2	United States of America			
T	UPPER	-10	Tank	Point of interest		Ordnance Survey (UK)	1	10	10	United Kingdom			
Tk	MiXeD	0	Tank	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
T	UPPER	-10	Tap	Point of interest		Ordnance Survey (UK)	1	10	10	United Kingdom			
Tech	MiXeD	0	Technical			USGS	4	1	2	United States of America			
Tech Coll	MiXeD	0	Technical College			Ordnance Survey (UK)	9	10	10	United Kingdom			
Tech	MiXeD	0	Technology			USGS	4	1	2	United States of America			
Teleg	MiXeD	0	Telegraph			USGS	5	1	2	United States of America			
TP	UPPER	0	Telegraph Pole			Ordnance Survey (UK)	2	10	10	United Kingdom			
Tel	MiXeD	0	Telephone			USGS	3	1	2	United States of America			
T	UPPER	-10	Telephone Box (small scales)			Ordnance Survey (UK)	1	10	10	United Kingdom			
TCB	UPPER	0	Telephone Call Box			Ordnance Survey (UK)	3	10	10	United Kingdom			
TCP	UPPER	0	Telephone Call Pillar			Ordnance Survey (UK)	3	10	10	United Kingdom			
TCP	UPPER	0	Telephone Call Post			Ordnance Survey (UK)	3	10	10	United Kingdom			
Tel Ex	MiXeD	0	Telephone Exchange			Ordnance Survey (UK)	6	10	10	United Kingdom			
Tel Line	MiXeD	0	Telephone Line			Ordnance Survey (UK)	8	10	10	United Kingdom			
Tel P	MiXeD	0	Telephone Pole			Ordnance Survey (UK)	5	10	10	United Kingdom			
TV	UPPER	0	Television			USGS	2	1	2	United States of America			
TV Sta	MiXeD	0	Television Station			Ordnance Survey (UK)	6	10	10	United Kingdom			
Temp	MiXeD	0	Temperature			USGS	4	1	2	United States of America			
Temp	MiXeD	0	Temporary			USGS	4	1	2	United States of America			
TCP	UPPER	0	Temporary Control Point			Ordnance Survey (UK)	3	10	10	United Kingdom			
Tenn	MiXeD	0	Tennessee	Admin-1		UC Berkeley	4	1	3	United States of America			
TN	UPPER	0	Tennessee	Admin-1		UC Berkeley	2	1	3	United States of America			
Term	MiXeD	0	Terminal			USGS	4	1	2	United States of America			
Ter	MiXeD	0	Terminus			Ordnance Survey (UK)	3	10	10	United Kingdom			
T	UPPER	-10	Terrace	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
Terr	MiXeD	0	Terrace	Transport		Ordnance Survey (UK)	4	10	10	United Kingdom			
Ter	MiXeD	0	Terrace	Transport		USGS	3	1	2	United States of America			
Te	MiXeD	0	Terrace	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
TA Centre	MiXeD	0	Territorial and Army Volunteer Reserve Centre			Ordnance Survey (UK)	9	10	10	United Kingdom			
TA Centre	MiXeD	0	Territorial Army Reserve Centre			Ordnance Survey (UK)	9	10	10	United Kingdom			
Terr	MiXeD	0	Territory			USGS	4	1	2	United States of America			
Tert	MiXeD	0	Tertiary			Ordnance Survey (UK)	4	10	10	United Kingdom			
Tex	MiXeD	0	Texas	Admin-1		UC Berkeley	3	1	3	United States of America			
TX	UPPER	0	Texas	Admin-1		UC Berkeley	2	1	3	United States of America			
Thtr	MiXeD	0	Theater			USGS	4	1	2	United States of America			
3D	UPPER	0	Third	Ordinal numbers		USGS	2	1	2	United States of America			
Thoro	MiXeD	0	Thoroughfare	Transport		USGS	5	1	2	United States of America			
Tid Fl	MiXeD	0	Tidal Flat	Hydrology		USGS	6	1	2	United States of America			
T	UPPER	-10	Tides	Hydrology		Ordnance Survey (UK)	1	10	10	United Kingdom			
t	lower	-10	tief	German	deep	UC Berkeley	1	1	3	German			
T	UPPER	-10	Tiefe	German	depth	UC Berkeley	1	1	3	German			
T	UPPER	-10	Timber			USGS	1	1	2	United States of America			
TBD	UPPER	0	To be determined			UC Berkeley	3	1	3	United States of America			
TBV	UPPER	0	To be verified			UC Berkeley	3	1	3	United States of America			
Toll	MiXeD	0	Toll Bridge or Gate	Hydrology		Ordnance Survey (UK)	4	10	10	United Kingdom			
TG	UPPER	0	Toll Gate	Hydrology		Ordnance Survey (UK)	2	10	10	United Kingdom			
TG	UPPER	0	Tollgate	Hydrology		USGS	2	1	2	United States of America			
t	lower	-10	Tonne			UC Berkeley	1	1	3	United States of America			
TLH	UPPER	0	Tool House			Ordnance Survey (UK)	3	10	10	United Kingdom			
TH	UPPER	0	Tool House			Ordnance Survey (UK)	2	10	10	United Kingdom			
T	UPPER	-10	Top of			Ordnance Survey (UK)	1	10	10	United Kingdom			
TB	UPPER	0	Top of Bank			Ordnance Survey (UK)	2	10	10	United Kingdom			
TS	UPPER	0	Top secret			UC Berkeley	2	1	3	United States of America			
TWL	UPPER	0	Top Water Level	Hydrology		Ordnance Survey (UK)	3	10	10	United Kingdom			
Topog	MiXeD	0	Topographic			USGS	5	1	2	United States of America			
Topog	MiXeD	0	Topographical			USGS	5	1	2	United States of America			
Topog	MiXeD	0	Topography			USGS	5	1	2	United States of America			
Twr	MiXeD	0	Tower			Ordnance Survey (UK)	3	10	10	United Kingdom			
Tr	MiXeD	0	Tower			USGS	2	1	2	United States of America			
TH	UPPER	0	Town Hall			Ordnance Survey (UK)	2	10	10	United Kingdom			
T	UPPER	-10	Township			UC Berkeley	1	1	3	United States of America			
Twp	MiXeD	0	Township			UC Berkeley	3	1	3	United States of America			
Tp	MiXeD	0	Township			UC Berkeley	2	1	3	United States of America			
T/RS	UPPER	0	Township/Range System			UC Berkeley	4	1	3	United States of America			
Ts	MiXeD	0	Townships			USGS	2	1	2	United States of America			
T	UPPER	-10	Track	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
Tk	MiXeD	0	Track	Transport		USGS	2	1	2	United States of America			
Tk F	MiXeD	0	Track of Fence			Ordnance Survey (UK)	4	10	10	United Kingdom			
Tk H	MiXeD	0	Track of Hedge			Ordnance Survey (UK)	4	10	10	United Kingdom			
Tk S	MiXeD	0	Track of Stream			Ordnance Survey (UK)	4	10	10	United Kingdom			
TS	UPPER	0	Traffic Signal			Ordnance Survey (UK)	2	10	10	United Kingdom			
Tr	MiXeD	100	Trail	Transport		Benchmark	2	1	1	United States of America			
Tng	MiXeD	0	Training			USGS	3	1	2	United States of America			
T	UPPER	-10	Tramontana		North	UC Berkeley	1	1	3	United States of America			
T	UPPER	-10	Tramuntana		North	UC Berkeley	1	1	3	United States of America			
Tram	MiXeD	0	Tramway	Transport		USGS	4	1	2	United States of America			
Trans	MiXeD	0	Transit	Transport		USGS	5	1	2	United States of America			
Trans	MiXeD	0	Transmission			USGS	5	1	2	United States of America			
Trans	MiXeD	0	Transmitter			USGS	5	1	2	United States of America			
Transp	MiXeD	0	Transportation	Transport		USGS	6	1	2	United States of America			
Trav C	MiXeD	0	Travelling Crane			Ordnance Survey (UK)	6	10	10	United Kingdom			
TC	UPPER	0	Travelling Crane			Ordnance Survey (UK)	2	10	10	United Kingdom			
Trav	MiXeD	0	Traverse			Ordnance Survey (UK)	4	10	10	United Kingdom			
Pillar (OS)	MiXeD	0	Triangulation pillar			Ordnance Survey (UK)	11	10	10	United Kingdom			
Trib	MiXeD	0	Tributary	Hydrology		USGS	4	1	2	United States of America			
TAD	UPPER	0	Trig Availability Diagram			Ordnance Survey (UK)	3	10	10	United Kingdom			
Trig Sta	MiXeD	0	Trigonometrical Station			Ordnance Survey (UK)	8	10	10	United Kingdom			
Trin	MiXeD	0	Trinidad	Admin-0		Nat'l Geo. N. Amer. Atlas	4	1	1				
T	UPPER	-10	Triones		North	UC Berkeley	1	1	3	United States of America			
T	UPPER	-10	Trough			Ordnance Survey (UK)	1	10	10	United Kingdom			
Tr	MiXeD	0	Trough			Ordnance Survey (UK)	2	10	10	United Kingdom			
T-R	UPPER	0	Truck Route	Transport		USGS	3	1	2	United States of America			
Tund	MiXeD	0	Tundra	Landcover		USGS	4	1	2	United States of America			
Tun	MiXeD	0	Tunnel	Transport		USGS	3	1	2	United States of America			
Tnpk	MiXeD	0	Turnpike	Transport		USGS	4	1	2	United States of America			
TP	UPPER	0	Turnpike	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
2WD	UPPER	100	Two-Wheel Drive	Transport		Benchmark	3	1	1	United States of America			
s	lower	-10	udlich	Direction	southern	UC Berkeley	1	1	3	German			
Und	MiXeD	0	Undefined			Ordnance Survey (UK)	3	10	10	United Kingdom			
Undenom	MiXeD	0	Undenominational			Ordnance Survey (UK)	7	10	10	United Kingdom			
Under Constn	MiXeD	0	Under Construction	Status		Ordnance Survey (UK)	12	10	10	United Kingdom			
U C	UPPER	0	Under Construction	Status		USGS	3	1	2	United States of America			
UST	UPPER	0	Underground storage tank	Feature		UC Berkeley	3	1	3	United States of America			
Unit	MiXeD	0	Unitarian	Religion		Ordnance Survey (UK)	4	10	10	United Kingdom			
UF	UPPER	0	United Free	Religion		Ordnance Survey (UK)	2	10	10	United Kingdom			
U.K.	Exact	0	United Kingdom	Admin-0		UC Berkeley	4	1	3	United States of America			
UK	UPPER	0	United Kingdom	Admin-0		UC Berkeley	2	1	3	United States of America			
UP	UPPER	0	United Presbyterian	Religion		Ordnance Survey (UK)	2	10	10	United Kingdom			
U Ref Ch	MiXeD	0	United Reformed Church	Religion		Ordnance Survey (UK)	8	10	10	United Kingdom			
U.S.	Exact	0	United States	Admin-0		USGS	4	1	2	United States of America			
US	UPPER	0	United States	Admin-0		USGS	2	1	2	United States of America			
USA	UPPER	100	United States	Admin-0		Benchmark	3	1	1	United States of America			
USAF	UPPER	0	United States Air Force	Organization		UC Berkeley	4	1	3	United States of America			
USCE	UPPER	0	United States Army Corps of Engineers	Organization		UC Berkeley	4	1	3	United States of America			
USCG	UPPER	0	United States Coast Guard	Organization		UC Berkeley	4	1	3	United States of America			
USDA	UPPER	0	United States Dept. of Agriculture	Organization		UC Berkeley	4	1	3	United States of America			
USDC	UPPER	0	United States Dept. of Commerce	Organization		UC Berkeley	4	1	3	United States of America			
USDI	UPPER	0	United States Dept. of the Interior	Organization		UC Berkeley	4	1	3	United States of America			
USFWS	UPPER	0	United States Fish and Wildlife Service	Organization		UC Berkeley	5	1	3	United States of America			
USFS	UPPER	0	United States Forest Service	Organization		UC Berkeley	4	1	3	United States of America			
USGS	UPPER	0	United States Geological Survey	Organization		UC Berkeley	4	1	3	United States of America			
USMC	UPPER	0	United States Marine Corps	Organization		UC Berkeley	4	1	3	United States of America			
SN	UPPER	0	United States Navy	Organization		UC Berkeley	2	1	3	United States of America			
U.S.	Exact	0	United States of America	Admin-0		UC Berkeley	4	1	3	United States of America			
USA	UPPER	0	United States of America	Admin-0		UC Berkeley	3	1	3	United States of America			
U.S.A.	Exact	100	United States of America	Admin-0		UC Berkeley	6	1	3	United States of America			
USPS	UPPER	0	United States Postal Service	Organization		UC Berkeley	4	1	3	United States of America			
UTM	UPPER	0	Universal Transverse Mercator			Ordnance Survey (UK)	3	10	10	United Kingdom			
Univ	MiXeD	0	University	Feature		UC Berkeley	4	1	3	United States of America			
um	lower	0	Unmade			Ordnance Survey (UK)	2	10	10	United Kingdom			
Upr	MiXeD	0	Upper			Ordnance Survey (UK)	3	10	10	United Kingdom			
UL	UPPER	0	Upper Level of Communication			Ordnance Survey (UK)	2	10	10	United Kingdom			
ULC	UPPER	0	Upper Level of through Communication			Ordnance Survey (UK)	3	10	10	United Kingdom			
UD	UPPER	0	Urban District	Administration		Ordnance Survey (UK)	2	10	10	United Kingdom			
UT	UPPER	0	Utah	Admin-1		UC Berkeley	2	1	3	United States of America			
V	UPPER	-10	Vale	Landform		Ordnance Survey (UK)	1	10	10	United Kingdom			
Va	MiXeD	0	Vale	Landform		Ordnance Survey (UK)	2	10	10	United Kingdom			
Val	MiXeD	0	Valley	Landform		USGS	3	1	2	United States of America			
Vly	MiXeD	50	Valley	Landform		DeLorme	3	1	5	United States of America			
V	UPPER	-10	Valve			Ordnance Survey (UK)	1	10	10	United Kingdom			
VC	UPPER	0	Valve Cover			Ordnance Survey (UK)	2	10	10	United Kingdom			
V Ho	MiXeD	0	Valve House			Ordnance Survey (UK)	4	10	10	United Kingdom			
VT	UPPER	0	Vault			Ordnance Survey (UK)	2	10	10	United Kingdom			
Veh	MiXeD	100	Vehicle			Benchmark	3	1	1	United States of America			
VDP	UPPER	0	Vehicle Detector Pad			Ordnance Survey (UK)	3	10	10	United Kingdom			
VP	UPPER	0	Vent Pipe			Ordnance Survey (UK)	2	10	10	United Kingdom			
V	UPPER	-10	Ventilator			Ordnance Survey (UK)	1	10	10	United Kingdom			
Vr	MiXeD	0	Ventilator			Ordnance Survey (UK)	2	10	10	United Kingdom			
VT	UPPER	0	Vermont	Admin-1		UC Berkeley	2	1	3	United States of America			
Vt	MiXeD	100	Vermont	Admin-1		UC Berkeley	2	1	3	United States of America			
Vbf	MiXeD	0	Verschriebebahnhof			UC Berkeley	3	1	3	United States of America			
Vert	MiXeD	0	Vertical			USGS	4	1	2	United States of America			
VA	UPPER	0	Vertical Angle			USGS	2	1	2	United States of America			
VABM	UPPER	0	Vertical Angle Bench Mark			USGS	4	1	2	United States of America			
VI	UPPER	0	Vertical Interval			Ordnance Survey (UK)	2	10	10	United Kingdom			
Viad	MiXeD	0	Viaduct	Transport		USGS	4	1	2	United States of America			
Vic	MiXeD	0	Vicarage			Ordnance Survey (UK)	3	10	10	United Kingdom			
V	UPPER	-10	View			Ordnance Survey (UK)	1	10	10	United Kingdom			
Vw	MiXeD	0	View			Ordnance Survey (UK)	2	10	10	United Kingdom			
View Pt	MiXeD	100	Viewpoint	Point of interest		Benchmark	7	1	1	United States of America			
